Hydrogen,nPentane,Isopentane,ReactionRate
205.8,90.9,37.1,3.541
404.8,92.9,36.3,2.397
209.7,174.9,49.4,6.694
401.6,187.2,44.9,4.722
224.9,92.7,116.3,0.593
402.6,102.2,128.9,0.268
212.7,186.9,134.4,2.797
406.2,192.6,134.9,2.451
133.3,140.8,87.6,3.196
470.9,144.2,86.9,2.021
300,68.3,81.7,0.896
301.6,214.6,101.7,5.084
297.3,142.2,10.5,5.686
314,146.7,157.1,1.193
305.7,142,86,2.648
300.1,143.7,90.2,3.303
305.4,141.1,87.4,3.054
305.2,141.5,87,3.302
300.1,83,66.4,1.271
106.6,209.6,33,11.648
417.2,83.9,32.9,2.002
251,294.4,41.5,9.604
250.3,148,14.7,7.754
145.1,291,50.2,11.59
